an	an_sh
khn	kh_sh n_sh
khiuih	kh_sh iuih_sh
kho	kh_sh o_sh
khueh	kh_sh ueh_sh
khr	kh_sh r_sh
khu	kh_sh u_sh
khuen	kh_sh uen_sh
khy	kh_sh y_sh
khah	kh_sh ah_sh
kan	k_sh an_sh
kau	k_sh au_sh
keh	k_sh eh_sh
kiah	k_sh iah_sh
kuoe	k_sh uoe_sh
ken	k_sh en_sh
kia	k_sh ia_sh
kie	k_sh ie_sh
kuaon	k_sh uaon_sh
kian	k_sh ian_sh
keu	k_sh eu_sh
kih	k_sh ih_sh
kiau	k_sh iau_sh
kin	k_sh in_sh
kiu	k_sh iu_sh
koe	k_sh oe_sh
kieu	k_sh ieu_sh
koh	k_sh oh_sh
kon	k_sh on_sh
kua	k_sh ua_sh
kioe	k_sh ioe_sh
kue	k_sh ue_sh
kioh	k_sh ioh_sh
kion	k_sh ion_sh
kiaon	k_sh iaon_sh
kiun	k_sh iun_sh
ka	k_sh a_sh
kuah	k_sh uah_sh
ke	k_sh e_sh
kaon	k_sh aon_sh
ki	k_sh i_sh
kuan	k_sh uan_sh
kng	k_sh ng_sh
km	k_sh m_sh
kn	k_sh n_sh
kiuih	k_sh iuih_sh
ko	k_sh o_sh
kueh	k_sh ueh_sh
kr	k_sh r_sh
ku	k_sh u_sh
kuen	k_sh uen_sh
ky	k_sh y_sh
kah	k_sh ah_sh
lan	l_sh an_sh
lau	l_sh au_sh
leh	l_sh eh_sh
liah	l_sh iah_sh
luoe	l_sh uoe_sh
len	l_sh en_sh
lia	l_sh ia_sh
lie	l_sh ie_sh
luaon	l_sh uaon_sh
lian	l_sh ian_sh
leu	l_sh eu_sh
lih	l_sh ih_sh
liau	l_sh iau_sh
lin	l_sh in_sh
liu	l_sh iu_sh
loe	l_sh oe_sh
lieu	l_sh ieu_sh
loh	l_sh oh_sh
lon	l_sh on_sh
lua	l_sh ua_sh
lioe	l_sh ioe_sh
lue	l_sh ue_sh
lioh	l_sh ioh_sh
lion	l_sh ion_sh
liaon	l_sh iaon_sh
liun	l_sh iun_sh
la	l_sh a_sh
luah	l_sh uah_sh
le	l_sh e_sh
laon	l_sh aon_sh
li	l_sh i_sh
luan	l_sh uan_sh
lng	l_sh ng_sh
lm	l_sh m_sh
ln	l_sh n_sh
liuih	l_sh iuih_sh
lo	l_sh o_sh
lueh	l_sh ueh_sh
lr	l_sh r_sh
lu	l_sh u_sh
luen	l_sh uen_sh
ly	l_sh y_sh
lah	l_sh ah_sh
ngan	ng_sh an_sh
ngau	ng_sh au_sh
ngeh	ng_sh eh_sh
ngiah	ng_sh iah_sh
nguoe	ng_sh uoe_sh
ngen	ng_sh en_sh
ngia	ng_sh ia_sh
ngie	ng_sh ie_sh
nguaon	ng_sh uaon_sh
ngian	ng_sh ian_sh
ngeu	ng_sh eu_sh
ngih	ng_sh ih_sh
ngiau	ng_sh iau_sh
ngin	ng_sh in_sh
ngiu	ng_sh iu_sh
ngoe	ng_sh oe_sh
ngieu	ng_sh ieu_sh
ngoh	ng_sh oh_sh
ngon	ng_sh on_sh
ngua	ng_sh ua_sh
ngioe	ng_sh ioe_sh
ngue	ng_sh ue_sh
ngioh	ng_sh ioh_sh
ngion	ng_sh ion_sh
ngiaon	ng_sh iaon_sh
ngiun	ng_sh iun_sh
nga	ng_sh a_sh
nguah	ng_sh uah_sh
nge	ng_sh e_sh
ngaon	ng_sh aon_sh
ngi	ng_sh i_sh
nguan	ng_sh uan_sh
ngng	ng_sh ng_sh
ngm	ng_sh m_sh
ngn	ng_sh n_sh
ngiuih	ng_sh iuih_sh
ngo	ng_sh o_sh
ngueh	ng_sh ueh_sh
ngr	ng_sh r_sh
ngu	ng_sh u_sh
nguen	ng_sh uen_sh
ngy	ng_sh y_sh
ngah	ng_sh ah_sh
zhan	zh_sh an_sh
zhau	zh_sh au_sh
zheh	zh_sh eh_sh
zhiah	zh_sh iah_sh
zhuoe	zh_sh uoe_sh
zhen	zh_sh en_sh
zhia	zh_sh ia_sh
zhie	zh_sh ie_sh
zhuaon	zh_sh uaon_sh
zhian	zh_sh ian_sh
zheu	zh_sh eu_sh
zhih	zh_sh ih_sh
zhiau	zh_sh iau_sh
zhin	zh_sh in_sh
zhiu	zh_sh iu_sh
zhoe	zh_sh oe_sh
zhieu	zh_sh ieu_sh
zhoh	zh_sh oh_sh
zhon	zh_sh on_sh
zhua	zh_sh ua_sh
zhioe	zh_sh ioe_sh
zhue	zh_sh ue_sh
zhioh	zh_sh ioh_sh
zhion	zh_sh ion_sh
zhiaon	zh_sh iaon_sh
zhiun	zh_sh iun_sh
zha	zh_sh a_sh
zhuah	zh_sh uah_sh
zhe	zh_sh e_sh
zhaon	zh_sh aon_sh
zhi	zh_sh i_sh
zhuan	zh_sh uan_sh
zhng	zh_sh ng_sh
zhm	zh_sh m_sh
zhn	zh_sh n_sh
zhiuih	zh_sh iuih_sh
zho	zh_sh o_sh
zhueh	zh_sh ueh_sh
zhr	zh_sh r_sh
zhu	zh_sh u_sh
zhuen	zh_sh uen_sh
zhy	zh_sh y_sh
zhah	zh_sh ah_sh
zan	z_sh an_sh
zau	z_sh au_sh
zeh	z_sh eh_sh
ziah	z_sh iah_sh
zuoe	z_sh uoe_sh
zen	z_sh en_sh
zia	z_sh ia_sh
zie	z_sh ie_sh
zuaon	z_sh uaon_sh
zian	z_sh ian_sh
zeu	z_sh eu_sh
zih	z_sh ih_sh
ziau	z_sh iau_sh
zin	z_sh in_sh
ziu	z_sh iu_sh
zoe	z_sh oe_sh
zieu	z_sh ieu_sh
zoh	z_sh oh_sh
zon	z_sh on_sh
zua	z_sh ua_sh
zioe	z_sh ioe_sh
zue	z_sh ue_sh
zioh	z_sh ioh_sh
zion	z_sh ion_sh
ziaon	z_sh iaon_sh
ziun	z_sh iun_sh
za	z_sh a_sh
zuah	z_sh uah_sh
ze	z_sh e_sh
zaon	z_sh aon_sh
zi	z_sh i_sh
zuan	z_sh uan_sh
zng	z_sh ng_sh
zm	z_sh m_sh
zn	z_sh n_sh
ziuih	z_sh iuih_sh
zo	z_sh o_sh
zueh	z_sh ueh_sh
zr	z_sh r_sh
zu	z_sh u_sh
zuen	z_sh uen_sh
zy	z_sh y_sh
zah	z_sh ah_sh
man	m_sh an_sh
mau	m_sh au_sh
meh	m_sh eh_sh
miah	m_sh iah_sh
muoe	m_sh uoe_sh
men	m_sh en_sh
mia	m_sh ia_sh
mie	m_sh ie_sh
muaon	m_sh uaon_sh
mian	m_sh ian_sh
meu	m_sh eu_sh
mih	m_sh ih_sh
miau	m_sh iau_sh
min	m_sh in_sh
miu	m_sh iu_sh
moe	m_sh oe_sh
mieu	m_sh ieu_sh
moh	m_sh oh_sh
mon	m_sh on_sh
mua	m_sh ua_sh
mioe	m_sh ioe_sh
mue	m_sh ue_sh
mioh	m_sh ioh_sh
mion	m_sh ion_sh
miaon	m_sh iaon_sh
miun	m_sh iun_sh
ma	m_sh a_sh
muah	m_sh uah_sh
me	m_sh e_sh
maon	m_sh aon_sh
mi	m_sh i_sh
muan	m_sh uan_sh
mng	m_sh ng_sh
mm	m_sh m_sh
mn	m_sh n_sh
miuih	m_sh iuih_sh
mo	m_sh o_sh
mueh	m_sh ueh_sh
mr	m_sh r_sh
mu	m_sh u_sh
muen	m_sh uen_sh
my	m_sh y_sh
mah	m_sh ah_sh
tshan	tsh_sh an_sh
tshau	tsh_sh au_sh
tsheh	tsh_sh eh_sh
tshiah	tsh_sh iah_sh
tshuoe	tsh_sh uoe_sh
tshen	tsh_sh en_sh
tshia	tsh_sh ia_sh
tshie	tsh_sh ie_sh
tshuaon	tsh_sh uaon_sh
tshian	tsh_sh ian_sh
tsheu	tsh_sh eu_sh
tshih	tsh_sh ih_sh
tshiau	tsh_sh iau_sh
tshin	tsh_sh in_sh
tshiu	tsh_sh iu_sh
tshoe	tsh_sh oe_sh
tshieu	tsh_sh ieu_sh
tshoh	tsh_sh oh_sh
tshon	tsh_sh on_sh
tshua	tsh_sh ua_sh
tshioe	tsh_sh ioe_sh
tshue	tsh_sh ue_sh
tshioh	tsh_sh ioh_sh
tshion	tsh_sh ion_sh
tshiaon	tsh_sh iaon_sh
tshiun	tsh_sh iun_sh
tsha	tsh_sh a_sh
tshuah	tsh_sh uah_sh
tshe	tsh_sh e_sh
tshaon	tsh_sh aon_sh
tshi	tsh_sh i_sh
tshuan	tsh_sh uan_sh
tshng	tsh_sh ng_sh
tshm	tsh_sh m_sh
tshn	tsh_sh n_sh
tshiuih	tsh_sh iuih_sh
tsho	tsh_sh o_sh
tshueh	tsh_sh ueh_sh
tshr	tsh_sh r_sh
tshu	tsh_sh u_sh
tshuen	tsh_sh uen_sh
tshy	tsh_sh y_sh
tshah	tsh_sh ah_sh
nan	n_sh an_sh
nau	n_sh au_sh
neh	n_sh eh_sh
niah	n_sh iah_sh
nuoe	n_sh uoe_sh
nen	n_sh en_sh
nia	n_sh ia_sh
nie	n_sh ie_sh
nuaon	n_sh uaon_sh
nian	n_sh ian_sh
neu	n_sh eu_sh
nih	n_sh ih_sh
niau	n_sh iau_sh
nin	n_sh in_sh
niu	n_sh iu_sh
noe	n_sh oe_sh
nieu	n_sh ieu_sh
noh	n_sh oh_sh
non	n_sh on_sh
nua	n_sh ua_sh
nioe	n_sh ioe_sh
nue	n_sh ue_sh
nioh	n_sh ioh_sh
nion	n_sh ion_sh
niaon	n_sh iaon_sh
niun	n_sh iun_sh
na	n_sh a_sh
nuah	n_sh uah_sh
ne	n_sh e_sh
naon	n_sh aon_sh
ni	n_sh i_sh
nuan	n_sh uan_sh
nng	n_sh ng_sh
nm	n_sh m_sh
nn	n_sh n_sh
niuih	n_sh iuih_sh
no	n_sh o_sh
nueh	n_sh ueh_sh
nr	n_sh r_sh
nu	n_sh u_sh
nuen	n_sh uen_sh
ny	n_sh y_sh
nah	n_sh ah_sh
ban	b_sh an_sh
bau	b_sh au_sh
beh	b_sh eh_sh
biah	b_sh iah_sh
buoe	b_sh uoe_sh
ben	b_sh en_sh
bia	b_sh ia_sh
bie	b_sh ie_sh
buaon	b_sh uaon_sh
bian	b_sh ian_sh
beu	b_sh eu_sh
bih	b_sh ih_sh
biau	b_sh iau_sh
bin	b_sh in_sh
biu	b_sh iu_sh
boe	b_sh oe_sh
bieu	b_sh ieu_sh
boh	b_sh oh_sh
bon	b_sh on_sh
bua	b_sh ua_sh
bioe	b_sh ioe_sh
bue	b_sh ue_sh
bioh	b_sh ioh_sh
bion	b_sh ion_sh
biaon	b_sh iaon_sh
biun	b_sh iun_sh
ba	b_sh a_sh
buah	b_sh uah_sh
be	b_sh e_sh
baon	b_sh aon_sh
bi	b_sh i_sh
buan	b_sh uan_sh
bng	b_sh ng_sh
bm	b_sh m_sh
bn	b_sh n_sh
biuih	b_sh iuih_sh
bo	b_sh o_sh
bueh	b_sh ueh_sh
br	b_sh r_sh
bu	b_sh u_sh
buen	b_sh uen_sh
by	b_sh y_sh
bah	b_sh ah_sh
chan	ch_sh an_sh
chau	ch_sh au_sh
cheh	ch_sh eh_sh
chiah	ch_sh iah_sh
chuoe	ch_sh uoe_sh
chen	ch_sh en_sh
chia	ch_sh ia_sh
chie	ch_sh ie_sh
chuaon	ch_sh uaon_sh
chian	ch_sh ian_sh
cheu	ch_sh eu_sh
chih	ch_sh ih_sh
chiau	ch_sh iau_sh
chin	ch_sh in_sh
chiu	ch_sh iu_sh
choe	ch_sh oe_sh
chieu	ch_sh ieu_sh
choh	ch_sh oh_sh
chon	ch_sh on_sh
chua	ch_sh ua_sh
chioe	ch_sh ioe_sh
chue	ch_sh ue_sh
chioh	ch_sh ioh_sh
chion	ch_sh ion_sh
chiaon	ch_sh iaon_sh
chiun	ch_sh iun_sh
cha	ch_sh a_sh
chuah	ch_sh uah_sh
che	ch_sh e_sh
chaon	ch_sh aon_sh
chi	ch_sh i_sh
chuan	ch_sh uan_sh
chng	ch_sh ng_sh
chm	ch_sh m_sh
chn	ch_sh n_sh
chiuih	ch_sh iuih_sh
cho	ch_sh o_sh
chueh	ch_sh ueh_sh
chr	ch_sh r_sh
chu	ch_sh u_sh
chuen	ch_sh uen_sh
chy	ch_sh y_sh
chah	ch_sh ah_sh
can	c_sh an_sh
cau	c_sh au_sh
ceh	c_sh eh_sh
ciah	c_sh iah_sh
cuoe	c_sh uoe_sh
cen	c_sh en_sh
cia	c_sh ia_sh
cie	c_sh ie_sh
cuaon	c_sh uaon_sh
cian	c_sh ian_sh
ceu	c_sh eu_sh
cih	c_sh ih_sh
ciau	c_sh iau_sh
cin	c_sh in_sh
ciu	c_sh iu_sh
coe	c_sh oe_sh
cieu	c_sh ieu_sh
coh	c_sh oh_sh
con	c_sh on_sh
cua	c_sh ua_sh
cioe	c_sh ioe_sh
cue	c_sh ue_sh
cioh	c_sh ioh_sh
cion	c_sh ion_sh
ciaon	c_sh iaon_sh
ciun	c_sh iun_sh
ca	c_sh a_sh
cuah	c_sh uah_sh
ce	c_sh e_sh
caon	c_sh aon_sh
ci	c_sh i_sh
cuan	c_sh uan_sh
cng	c_sh ng_sh
cm	c_sh m_sh
cn	c_sh n_sh
ciuih	c_sh iuih_sh
co	c_sh o_sh
cueh	c_sh ueh_sh
cr	c_sh r_sh
cu	c_sh u_sh
cuen	c_sh uen_sh
cy	c_sh y_sh
cah	c_sh ah_sh
phan	ph_sh an_sh
phau	ph_sh au_sh
pheh	ph_sh eh_sh
phiah	ph_sh iah_sh
phuoe	ph_sh uoe_sh
phen	ph_sh en_sh
phia	ph_sh ia_sh
phie	ph_sh ie_sh
phuaon	ph_sh uaon_sh
phian	ph_sh ian_sh
pheu	ph_sh eu_sh
phih	ph_sh ih_sh
phiau	ph_sh iau_sh
phin	ph_sh in_sh
phiu	ph_sh iu_sh
phoe	ph_sh oe_sh
phieu	ph_sh ieu_sh
phoh	ph_sh oh_sh
phon	ph_sh on_sh
phua	ph_sh ua_sh
phioe	ph_sh ioe_sh
phue	ph_sh ue_sh
phioh	ph_sh ioh_sh
phion	ph_sh ion_sh
phiaon	ph_sh iaon_sh
phiun	ph_sh iun_sh
pha	ph_sh a_sh
phuah	ph_sh uah_sh
phe	ph_sh e_sh
phaon	ph_sh aon_sh
phi	ph_sh i_sh
phuan	ph_sh uan_sh
phng	ph_sh ng_sh
phm	ph_sh m_sh
phn	ph_sh n_sh
phiuih	ph_sh iuih_sh
pho	ph_sh o_sh
phueh	ph_sh ueh_sh
phr	ph_sh r_sh
phu	ph_sh u_sh
phuen	ph_sh uen_sh
phy	ph_sh y_sh
phah	ph_sh ah_sh
pan	p_sh an_sh
pau	p_sh au_sh
peh	p_sh eh_sh
piah	p_sh iah_sh
puoe	p_sh uoe_sh
pen	p_sh en_sh
pia	p_sh ia_sh
pie	p_sh ie_sh
puaon	p_sh uaon_sh
pian	p_sh ian_sh
peu	p_sh eu_sh
pih	p_sh ih_sh
piau	p_sh iau_sh
pin	p_sh in_sh
piu	p_sh iu_sh
poe	p_sh oe_sh
pieu	p_sh ieu_sh
poh	p_sh oh_sh
pon	p_sh on_sh
pua	p_sh ua_sh
pioe	p_sh ioe_sh
pue	p_sh ue_sh
pioh	p_sh ioh_sh
pion	p_sh ion_sh
piaon	p_sh iaon_sh
piun	p_sh iun_sh
pa	p_sh a_sh
puah	p_sh uah_sh
pe	p_sh e_sh
paon	p_sh aon_sh
pi	p_sh i_sh
puan	p_sh uan_sh
png	p_sh ng_sh
pm	p_sh m_sh
pn	p_sh n_sh
piuih	p_sh iuih_sh
po	p_sh o_sh
pueh	p_sh ueh_sh
pr	p_sh r_sh
pu	p_sh u_sh
puen	p_sh uen_sh
py	p_sh y_sh
pah	p_sh ah_sh
dan	d_sh an_sh
dau	d_sh au_sh
deh	d_sh eh_sh
diah	d_sh iah_sh
duoe	d_sh uoe_sh
den	d_sh en_sh
dia	d_sh ia_sh
die	d_sh ie_sh
duaon	d_sh uaon_sh
dian	d_sh ian_sh
deu	d_sh eu_sh
dih	d_sh ih_sh
diau	d_sh iau_sh
din	d_sh in_sh
diu	d_sh iu_sh
doe	d_sh oe_sh
dieu	d_sh ieu_sh
doh	d_sh oh_sh
don	d_sh on_sh
dua	d_sh ua_sh
dioe	d_sh ioe_sh
due	d_sh ue_sh
dioh	d_sh ioh_sh
dion	d_sh ion_sh
diaon	d_sh iaon_sh
diun	d_sh iun_sh
da	d_sh a_sh
duah	d_sh uah_sh
de	d_sh e_sh
daon	d_sh aon_sh
di	d_sh i_sh
duan	d_sh uan_sh
dng	d_sh ng_sh
dm	d_sh m_sh
dn	d_sh n_sh
diuih	d_sh iuih_sh
do	d_sh o_sh
dueh	d_sh ueh_sh
dr	d_sh r_sh
du	d_sh u_sh
duen	d_sh uen_sh
dy	d_sh y_sh
dah	d_sh ah_sh
nyan	ny_sh an_sh
nyau	ny_sh au_sh
nyeh	ny_sh eh_sh
nyiah	ny_sh iah_sh
nyuoe	ny_sh uoe_sh
nyen	ny_sh en_sh
nyia	ny_sh ia_sh
nyie	ny_sh ie_sh
nyuaon	ny_sh uaon_sh
nyian	ny_sh ian_sh
nyeu	ny_sh eu_sh
nyih	ny_sh ih_sh
nyiau	ny_sh iau_sh
nyin	ny_sh in_sh
nyiu	ny_sh iu_sh
nyoe	ny_sh oe_sh
nyieu	ny_sh ieu_sh
nyoh	ny_sh oh_sh
nyon	ny_sh on_sh
nyua	ny_sh ua_sh
nyioe	ny_sh ioe_sh
nyue	ny_sh ue_sh
nyioh	ny_sh ioh_sh
nyion	ny_sh ion_sh
nyiaon	ny_sh iaon_sh
nyiun	ny_sh iun_sh
nya	ny_sh a_sh
nyuah	ny_sh uah_sh
nye	ny_sh e_sh
nyaon	ny_sh aon_sh
nyi	ny_sh i_sh
nyuan	ny_sh uan_sh
nyng	ny_sh ng_sh
nym	ny_sh m_sh
nyn	ny_sh n_sh
nyiuih	ny_sh iuih_sh
nyo	ny_sh o_sh
nyueh	ny_sh ueh_sh
nyr	ny_sh r_sh
nyu	ny_sh u_sh
nyuen	ny_sh uen_sh
nyy	ny_sh y_sh
nyah	ny_sh ah_sh
tsan	ts_sh an_sh
tsau	ts_sh au_sh
tseh	ts_sh eh_sh
tsiah	ts_sh iah_sh
tsuoe	ts_sh uoe_sh
tsen	ts_sh en_sh
tsia	ts_sh ia_sh
tsie	ts_sh ie_sh
tsuaon	ts_sh uaon_sh
tsian	ts_sh ian_sh
tseu	ts_sh eu_sh
tsih	ts_sh ih_sh
tsiau	ts_sh iau_sh
tsin	ts_sh in_sh
tsiu	ts_sh iu_sh
tsoe	ts_sh oe_sh
tsieu	ts_sh ieu_sh
tsoh	ts_sh oh_sh
tson	ts_sh on_sh
tsua	ts_sh ua_sh
tsioe	ts_sh ioe_sh
tsue	ts_sh ue_sh
tsioh	ts_sh ioh_sh
tsion	ts_sh ion_sh
tsiaon	ts_sh iaon_sh
tsiun	ts_sh iun_sh
tsa	ts_sh a_sh
tsuah	ts_sh uah_sh
tse	ts_sh e_sh
tsaon	ts_sh aon_sh
tsi	ts_sh i_sh
tsuan	ts_sh uan_sh
tsng	ts_sh ng_sh
tsm	ts_sh m_sh
tsn	ts_sh n_sh
tsiuih	ts_sh iuih_sh
tso	ts_sh o_sh
tsueh	ts_sh ueh_sh
tsr	ts_sh r_sh
tsu	ts_sh u_sh
tsuen	ts_sh uen_sh
tsy	ts_sh y_sh
tsah	ts_sh ah_sh
shan	sh_sh an_sh
shau	sh_sh au_sh
sheh	sh_sh eh_sh
shiah	sh_sh iah_sh
shuoe	sh_sh uoe_sh
shen	sh_sh en_sh
shia	sh_sh ia_sh
shie	sh_sh ie_sh
shuaon	sh_sh uaon_sh
shian	sh_sh ian_sh
sheu	sh_sh eu_sh
shih	sh_sh ih_sh
shiau	sh_sh iau_sh
shin	sh_sh in_sh
shiu	sh_sh iu_sh
shoe	sh_sh oe_sh
shieu	sh_sh ieu_sh
shoh	sh_sh oh_sh
shon	sh_sh on_sh
shua	sh_sh ua_sh
shioe	sh_sh ioe_sh
shue	sh_sh ue_sh
shioh	sh_sh ioh_sh
shion	sh_sh ion_sh
shiaon	sh_sh iaon_sh
shiun	sh_sh iun_sh
sha	sh_sh a_sh
shuah	sh_sh uah_sh
she	sh_sh e_sh
shaon	sh_sh aon_sh
shi	sh_sh i_sh
shuan	sh_sh uan_sh
shng	sh_sh ng_sh
shm	sh_sh m_sh
shn	sh_sh n_sh
shiuih	sh_sh iuih_sh
sho	sh_sh o_sh
shueh	sh_sh ueh_sh
shr	sh_sh r_sh
shu	sh_sh u_sh
shuen	sh_sh uen_sh
shy	sh_sh y_sh
shah	sh_sh ah_sh
san	s_sh an_sh
sau	s_sh au_sh
seh	s_sh eh_sh
siah	s_sh iah_sh
suoe	s_sh uoe_sh
sen	s_sh en_sh
sia	s_sh ia_sh
sie	s_sh ie_sh
suaon	s_sh uaon_sh
sian	s_sh ian_sh
seu	s_sh eu_sh
sih	s_sh ih_sh
siau	s_sh iau_sh
sin	s_sh in_sh
siu	s_sh iu_sh
soe	s_sh oe_sh
sieu	s_sh ieu_sh
soh	s_sh oh_sh
son	s_sh on_sh
sua	s_sh ua_sh
sioe	s_sh ioe_sh
sue	s_sh ue_sh
sioh	s_sh ioh_sh
sion	s_sh ion_sh
siaon	s_sh iaon_sh
siun	s_sh iun_sh
sa	s_sh a_sh
suah	s_sh uah_sh
se	s_sh e_sh
saon	s_sh aon_sh
si	s_sh i_sh
suan	s_sh uan_sh
sng	s_sh ng_sh
sm	s_sh m_sh
sn	s_sh n_sh
siuih	s_sh iuih_sh
so	s_sh o_sh
sueh	s_sh ueh_sh
sr	s_sh r_sh
su	s_sh u_sh
suen	s_sh uen_sh
sy	s_sh y_sh
sah	s_sh ah_sh
fan	f_sh an_sh
fau	f_sh au_sh
feh	f_sh eh_sh
fiah	f_sh iah_sh
fuoe	f_sh uoe_sh
fen	f_sh en_sh
fia	f_sh ia_sh
fie	f_sh ie_sh
fuaon	f_sh uaon_sh
fian	f_sh ian_sh
feu	f_sh eu_sh
fih	f_sh ih_sh
fiau	f_sh iau_sh
fin	f_sh in_sh
fiu	f_sh iu_sh
foe	f_sh oe_sh
fieu	f_sh ieu_sh
foh	f_sh oh_sh
fon	f_sh on_sh
fua	f_sh ua_sh
fioe	f_sh ioe_sh
fue	f_sh ue_sh
fioh	f_sh ioh_sh
fion	f_sh ion_sh
fiaon	f_sh iaon_sh
fiun	f_sh iun_sh
fa	f_sh a_sh
fuah	f_sh uah_sh
fe	f_sh e_sh
faon	f_sh aon_sh
fi	f_sh i_sh
fuan	f_sh uan_sh
fng	f_sh ng_sh
fm	f_sh m_sh
fn	f_sh n_sh
fiuih	f_sh iuih_sh
